county,constituency,ward,no_of_polling_station_2017,no_of_registered_voters_2017,year_2017,no_of_polling_station_2022,no_of_registered_voters_2022,year_2022,change_polling,change_voters,pct_change_voters
BOMET,CHEPALUNGU,SIGOR,33.0,13744.0,2017.0,35,15849,2022,2.0,2105.0,15.315774155995342
BOMET,CHEPALUNGU,SIONGIROI,29.0,12528.0,2017.0,35,15018,2022,6.0,2490.0,19.875478927203066
BOMET,KONOIN,BOITO,34.0,15058.0,2017.0,39,17019,2022,5.0,1961.0,13.022977819099482
BOMET,KONOIN,CHEPCHABAS,22.0,10166.0,2017.0,20,9316,2022,-2.0,-850.0,-8.361204013377927
BOMET,KONOIN,EMBOMOS,42.0,15819.0,2017.0,49,18390,2022,7.0,2571.0,16.2526076237436
BOMET,KONOIN,KIMULOT,23.0,10723.0,2017.0,28,12321,2022,5.0,1598.0,14.902545929310826
BOMET,KONOIN,MOGOGOSIEK,35.0,15411.0,2017.0,41,18069,2022,6.0,2658.0,17.24742067354487
BOMET,SOTIK,CHEMAGEL,34.0,16099.0,2017.0,40,18870,2022,6.0,2771.0,17.212249208025344
BOMET,SOTIK,KAPLETUNDO,41.0,18129.0,2017.0,49,20992,2022,8.0,2863.0,15.792376854763088
BOMET,SOTIK,KIPSONOI,36.0,14542.0,2017.0,43,17736,2022,7.0,3194.0,21.963966442029985
BOMET,SOTIK,NDANAI/ABOSI,35.0,14370.0,2017.0,41,17049,2022,6.0,2679.0,18.64300626304802
BOMET,SOTIK,RONGENA/MANARET,25.0,10174.0,2017.0,29,12034,2022,4.0,1860.0,18.281895026538233
BUNGOMA,BUMULA,BUMULA,26.0,11957.0,2017.0,30,13425,2022,4.0,1468.0,12.277327088734632
BUNGOMA,BUMULA,KABULA,17.0,8521.0,2017.0,19,9817,2022,2.0,1296.0,15.209482455110903
BUNGOMA,BUMULA,KHASOKO,14.0,7281.0,2017.0,17,9270,2022,3.0,1989.0,27.317676143386898
BUNGOMA,BUMULA,KIMAETI,29.0,13711.0,2017.0,35,15546,2022,6.0,1835.0,13.38341477645686
BUNGOMA,BUMULA,SIBOTI,25.0,11561.0,2017.0,31,12633,2022,6.0,1072.0,9.27255427731165
BUNGOMA,BUMULA,SOUTH BUKUSU,20.0,9660.0,2017.0,24,11587,2022,4.0,1927.0,19.94824016563147
BUNGOMA,BUMULA,WEST BUKUSU,17.0,7992.0,2017.0,18,9769,2022,1.0,1777.0,22.234734734734733
BUNGOMA,KABUCHAI,BWAKE/LUUYA,27.0,13887.0,2017.0,31,15366,2022,4.0,1479.0,10.650248433786995
BUNGOMA,KABUCHAI,KABUCHAI/CHWELE,31.0,15177.0,2017.0,37,18288,2022,6.0,3111.0,20.498122158529352
BUNGOMA,KABUCHAI,MUKUYUNI,35.0,14396.0,2017.0,39,17369,2022,4.0,2973.0,20.651569880522366
BUNGOMA,KABUCHAI,WEST NALONDO,30.0,14016.0,2017.0,33,16198,2022,3.0,2182.0,15.567922374429225
BUNGOMA,KANDUYI,BUKEMBE EAST,22.0,11152.0,2017.0,26,13035,2022,4.0,1883.0,16.884863701578194
BUNGOMA,KANDUYI,BUKEMBE WEST,20.0,9275.0,2017.0,24,10831,2022,4.0,1556.0,16.776280323450134
BUNGOMA,KANDUYI,EAST SANG'ALO,28.0,12835.0,2017.0,33,15555,2022,5.0,2720.0,21.192052980132452
BUNGOMA,KANDUYI,KHALABA,25.0,13803.0,2017.0,26,14167,2022,1.0,364.0,2.637107875099616
BUNGOMA,KANDUYI,MARAKARU/TUUTI,26.0,14423.0,2017.0,36,16191,2022,10.0,1768.0,12.258198710393122
BUNGOMA,KANDUYI,MUSIKOMA,28.0,13843.0,2017.0,33,15826,2022,5.0,1983.0,14.324929567290326
BUNGOMA,KANDUYI,TOWNSHIP,28.0,16992.0,2017.0,30,17919,2022,2.0,927.0,5.455508474576272
BUNGOMA,KANDUYI,WEST SANG'ALO,27.0,13242.0,2017.0,34,14809,2022,7.0,1567.0,11.833559885213713
BUNGOMA,KIMILILI,KAMUKUYWA,28.0,13344.0,2017.0,33,15409,2022,5.0,2065.0,15.47511990407674
BUNGOMA,KIMILILI,KIBINGEI,28.0,13162.0,2017.0,35,15751,2022,7.0,2589.0,19.67026287798207
BUNGOMA,KIMILILI,KIMILILI,32.0,15934.0,2017.0,36,18975,2022,4.0,3041.0,19.08497552403665
BUNGOMA,KIMILILI,MAENI,19.0,9828.0,2017.0,22,11452,2022,3.0,1624.0,16.524216524216524
BUNGOMA,MT. ELGON,CHEPTAIS,25.0,11515.0,2017.0,27,13342,2022,2.0,1827.0,15.866261398176293
BUNGOMA,MT. ELGON,CHEPYUK,23.0,9575.0,2017.0,30,11075,2022,7.0,1500.0,15.66579634464752
BUNGOMA,MT. ELGON,CHESIKAKI,22.0,9862.0,2017.0,24,11375,2022,2.0,1513.0,15.3417156763334
BUNGOMA,MT. ELGON,ELGON,28.0,12691.0,2017.0,30,14512,2022,2.0,1821.0,14.348751083444961
BUNGOMA,MT. ELGON,KAPKATENY,27.0,10568.0,2017.0,30,12141,2022,3.0,1573.0,14.88455715367146
BUNGOMA,MT. ELGON,KAPTAMA,27.0,12009.0,2017.0,37,13714,2022,10.0,1705.0,14.197685069531186
BUNGOMA,SIRISIA,LWANDANYI,42.0,14851.0,2017.0,46,17303,2022,4.0,2452.0,16.510672681974278
BUNGOMA,SIRISIA,MALAKISI/SOUTH KULISIRU,32.0,14685.0,2017.0,42,17728,2022,10.0,3043.0,20.721824991487914
BUNGOMA,SIRISIA,NAMWELA,25.0,11404.0,2017.0,30,13686,2022,5.0,2282.0,20.010522623640828
BUNGOMA,TONGAREN,MBAKALO,28.0,11574.0,2017.0,29,13311,2022,1.0,1737.0,15.007776049766719
BUNGOMA,TONGAREN,MILIMA,28.0,13319.0,2017.0,32,15700,2022,4.0,2381.0,17.876717471281626
BUNGOMA,TONGAREN,NAITIRI/KABUYEFWE,36.0,14663.0,2017.0,36,16232,2022,0.0,1569.0,10.700402373320603
BUNGOMA,TONGAREN,NDALU/ TABANI,19.0,9501.0,2017.0,21,11250,2022,2.0,1749.0,18.40858856962425
BUNGOMA,TONGAREN,SOYSAMBU/ MITUA,25.0,11586.0,2017.0,27,13335,2022,2.0,1749.0,15.095805282237182
BUNGOMA,TONGAREN,TONGAREN,28.0,13326.0,2017.0,30,15124,2022,2.0,1798.0,13.492420831457302
BUNGOMA,WEBUYE EAST,MARAKA,24.0,11677.0,2017.0,27,13757,2022,3.0,2080.0,17.812794382118696
BUNGOMA,WEBUYE EAST,MIHUU,32.0,14573.0,2017.0,37,17438,2022,5.0,2865.0,19.659644548136963
BUNGOMA,WEBUYE EAST,NDIVISI,37.0,16013.0,2017.0,39,17755,2022,2.0,1742.0,10.87866108786611
BUNGOMA,WEBUYE WEST,BOKOLI,25.0,12697.0,2017.0,34,15670,2022,9.0,2973.0,23.414979916515712
BUNGOMA,WEBUYE WEST,MATULO,25.0,14712.0,2017.0,29,16304,2022,4.0,1592.0,10.821098423056007
BUNGOMA,WEBUYE WEST,MISIKHU,25.0,12203.0,2017.0,28,14118,2022,3.0,1915.0,15.692862410882569
BUNGOMA,WEBUYE WEST,SITIKHO,21.0,10854.0,2017.0,26,12540,2022,5.0,1686.0,15.533443891652846
BUSIA,BUDALANGI,BUNYALA CENTRAL,16.0,6672.0,2017.0,16,7725,2022,0.0,1053.0,15.782374100719423
BUSIA,BUDALANGI,BUNYALA NORTH,24.0,11609.0,2017.0,25,13637,2022,1.0,2028.0,17.469204927211646
BUSIA,BUDALANGI,BUNYALA SOUTH,21.0,7809.0,2017.0,24,9807,2022,3.0,1998.0,25.58586246638494
BUSIA,BUDALANGI,BUNYALA WEST,23.0,12327.0,2017.0,28,14863,2022,5.0,2536.0,20.572726535247828
BUSIA,BUTULA,ELUGULU,18.0,8728.0,2017.0,21,10169,2022,3.0,1441.0,16.510082493125573
BUSIA,BUTULA,KINGANDOLE,17.0,8232.0,2017.0,20,9906,2022,3.0,1674.0,20.33527696793003
BUSIA,BUTULA,MARACHI CENTRAL,22.0,10301.0,2017.0,25,11685,2022,3.0,1384.0,13.435588777788565
BUSIA,BUTULA,MARACHI EAST,21.0,9547.0,2017.0,23,11105,2022,2.0,1558.0,16.319262595579765
BUSIA,BUTULA,MARACHI NORTH,22.0,10827.0,2017.0,26,12937,2022,4.0,2110.0,19.488316246420982
BUSIA,BUTULA,MARACHI WEST,20.0,10050.0,2017.0,24,11575,2022,4.0,1525.0,15.17412935323383
BUSIA,FUNYULA,AGENG'A NANGUBA,24.0,12264.0,2017.0,31,14284,2022,7.0,2020.0,16.470971950424005
BUSIA,FUNYULA,BWIRI,20.0,8865.0,2017.0,22,11320,2022,2.0,2455.0,27.693175408911447
BUSIA,FUNYULA,NAMBOBOTO NAMBUKU,33.0,13565.0,2017.0,34,15900,2022,1.0,2335.0,17.213416881680796
BUSIA,FUNYULA,NANGINA,22.0,9977.0,2017.0,25,12527,2022,3.0,2550.0,25.558785205973738
BUSIA,MATAYOS,BUKHAYO WEST,33.0,14278.0,2017.0,36,17548,2022,3.0,3270.0,22.9023672783303
BUSIA,MATAYOS,BURUMBA,33.0,17188.0,2017.0,34,19496,2022,1.0,2308.0,13.42797300442169
BUSIA,MATAYOS,BUSIBWABO,11.0,5301.0,2017.0,12,6500,2022,1.0,1199.0,22.618373891718544
BUSIA,MATAYOS,MATAYOS SOUTH,28.0,13577.0,2017.0,31,15980,2022,3.0,2403.0,17.69904986374015
BUSIA,MATAYOS,MAYENJE,12.0,6497.0,2017.0,14,8184,2022,2.0,1687.0,25.965830383253806
BUSIA,NAMBALE,BUKHAYO CENTRAL,19.0,8622.0,2017.0,20,10348,2022,1.0,1726.0,20.018557179308747
BUSIA,NAMBALE,BUKHAYO EAST,20.0,9579.0,2017.0,23,11614,2022,3.0,2035.0,21.244388767094684
BUSIA,NAMBALE,BUKHAYO NORTH/WALTSI,22.0,9273.0,2017.0,24,10945,2022,2.0,1672.0,18.030842230130485
BUSIA,NAMBALE,NAMBALE TOWNSHIP,25.0,14785.0,2017.0,32,17638,2022,7.0,2853.0,19.296584376056813
BUSIA,TESO NORTH,ANG'URAI EAST,15.0,6163.0,2017.0,18,7764,2022,3.0,1601.0,25.97760830764238
BUSIA,TESO NORTH,ANG'URAI NORTH,19.0,8709.0,2017.0,24,10148,2022,5.0,1439.0,16.523136984728442
BUSIA,TESO NORTH,ANG'URAI SOUTH,22.0,8416.0,2017.0,22,9821,2022,0.0,1405.0,16.694391634980988
BUSIA,TESO NORTH,MALABA CENTRAL,24.0,11618.0,2017.0,26,13248,2022,2.0,1630.0,14.02995352039938
BUSIA,TESO NORTH,MALABA NORTH,16.0,6749.0,2017.0,18,8401,2022,2.0,1652.0,24.47770040005927
BUSIA,TESO NORTH,MALABA SOUTH,22.0,8178.0,2017.0,25,10413,2022,3.0,2235.0,27.329420396184883
BUSIA,TESO SOUTH,AMUKURA CENTRAL,22.0,9962.0,2017.0,25,12326,2022,3.0,2364.0,23.730174663722146
BUSIA,TESO SOUTH,AMUKURA EAST,21.0,9799.0,2017.0,24,11549,2022,3.0,1750.0,17.858965200530665
