county,constituency,ward,no_of_polling_station,no_of_registered_voters
BARINGO,BARINGO CENTRAL,EWALEL/CHAPCHAP,23,8176
BARINGO,BARINGO CENTRAL,KABARNET,41,12669
BARINGO,BARINGO CENTRAL,KAPROPITA,29,7235
BARINGO,BARINGO CENTRAL,SACHO,20,5180
BARINGO,BARINGO CENTRAL,TENGES,22,5128
BARINGO,BARINGO NORTH,BARTABWA,33,5427
BARINGO,BARINGO NORTH,BARWESSA,45,10484
BARINGO,BARINGO NORTH,KABARTONJO,29,9713
BARINGO,BARINGO NORTH,SAIMO/KIPSARAMAN,29,10149
BARINGO,BARINGO NORTH,SAIMO/SOI,37,7001
BARINGO,BARINGO SOUTH,ILCHAMUS,19,7009
BARINGO,BARINGO SOUTH,MARIGAT,54,13076
BARINGO,BARINGO SOUTH,MOCHONGOI,39,10948
BARINGO,BARINGO SOUTH,MUKUTANI,20,4129
BARINGO,ELDAMA RAVINE,KOIBATEK,22,6545
BARINGO,ELDAMA RAVINE,LEMBUS,32,10801
BARINGO,ELDAMA RAVINE,LEMBUS KWEN,28,9139
BARINGO,ELDAMA RAVINE,LEMBUS/PERKERRA,27,9246
BARINGO,ELDAMA RAVINE,MUMBERES/MAJI MAZURI,23,9412
BARINGO,ELDAMA RAVINE,RAVINE,22,9599
BARINGO,MOGOTIO,EMINING,48,8875
BARINGO,MOGOTIO,KISANANA,48,8713
BARINGO,MOGOTIO,MOGOTIO,59,14688
BARINGO,TIATY,CHURO/AMAYA,19,4177
BARINGO,TIATY,KOLOWA,23,5657
BARINGO,TIATY,LOIYAMOROCK,14,2848
BARINGO,TIATY,RIBKWO,29,4050
BARINGO,TIATY,SILALE,14,2280
BARINGO,TIATY,TANGULBEI/KOROSSI,22,4946
BARINGO,TIATY,TIRIOKO,22,4958
BOMET,BOMET CENTRAL,CHESOEN,32,15208
BOMET,BOMET CENTRAL,MUTARAKWA,21,9413
BOMET,BOMET CENTRAL,NDARAWETA,21,10306
BOMET,BOMET CENTRAL,SILIBWET TOWNSHIP,29,14758
BOMET,BOMET CENTRAL,SINGORWET,23,10430
BOMET,BOMET EAST,CHEMANER,17,7655
BOMET,BOMET EAST,KEMBU,25,10709
BOMET,BOMET EAST,KIPRERES,23,9865
BOMET,BOMET EAST,LONGISA,25,12017
BOMET,BOMET EAST,MERIGI,25,12616
BOMET,CHEPALUNGU,CHEBUNYO,31,13792
BOMET,CHEPALUNGU,KONG'ASIS,29,11940
BOMET,CHEPALUNGU,NYANGORES,38,16540
BOMET,CHEPALUNGU,SIGOR,33,13744
BOMET,CHEPALUNGU,SIONGIROI,29,12528
BOMET,KONOIN,BOITO,34,15058
BOMET,KONOIN,CHEPCHABAS,22,10166
BOMET,KONOIN,EMBOMOS,42,15819
BOMET,KONOIN,KIMULOT,23,10723
BOMET,KONOIN,MOGOGOSIEK,35,15411
BOMET,SOTIK,CHEMAGEL,34,16099
BOMET,SOTIK,KAPLETUNDO,41,18129
BOMET,SOTIK,KIPSONOI,36,14542
BOMET,SOTIK,NDANAI/ABOSI,35,14370
BOMET,SOTIK,RONGENA/MANARET,25,10174
BUNGOMA,BUMULA,BUMULA,26,11957
BUNGOMA,BUMULA,KABULA,17,8521
BUNGOMA,BUMULA,KHASOKO,14,7281
BUNGOMA,BUMULA,KIMAETI,29,13711
BUNGOMA,BUMULA,SIBOTI,25,11561
BUNGOMA,BUMULA,SOUTH BUKUSU,20,9660
BUNGOMA,BUMULA,WEST BUKUSU,17,7992
BUNGOMA,KABUCHAI,BWAKE/LUUYA,27,13887
BUNGOMA,KABUCHAI,KABUCHAI/CHWELE,31,15177
BUNGOMA,KABUCHAI,MUKUYUNI,35,14396
BUNGOMA,KABUCHAI,WEST NALONDO,30,14016
BUNGOMA,KANDUYI,BUKEMBE EAST,22,11152
BUNGOMA,KANDUYI,BUKEMBE WEST,20,9275
BUNGOMA,KANDUYI,EAST SANG'ALO,28,12835
BUNGOMA,KANDUYI,KHALABA,25,13803
BUNGOMA,KANDUYI,MARAKARU/TUUTI,26,14423
BUNGOMA,KANDUYI,MUSIKOMA,28,13843
BUNGOMA,KANDUYI,TOWNSHIP,28,16992
BUNGOMA,KANDUYI,WEST SANG'ALO,27,13242
BUNGOMA,KIMILILI,KAMUKUYWA,28,13344
BUNGOMA,KIMILILI,KIBINGEI,28,13162
BUNGOMA,KIMILILI,KIMILILI,32,15934
BUNGOMA,KIMILILI,MAENI,19,9828
BUNGOMA,MT. ELGON,CHEPTAIS,25,11515
BUNGOMA,MT. ELGON,CHEPYUK,23,9575
BUNGOMA,MT. ELGON,CHESIKAKI,22,9862
BUNGOMA,MT. ELGON,ELGON,28,12691
BUNGOMA,MT. ELGON,KAPKATENY,27,10568
BUNGOMA,MT. ELGON,KAPTAMA,27,12009
BUNGOMA,SIRISIA,LWANDANYI,42,14851
BUNGOMA,SIRISIA,MALAKISI/SOUTH KULISIRU,32,14685
BUNGOMA,SIRISIA,NAMWELA,25,11404
BUNGOMA,TONGAREN,MBAKALO,28,11574
BUNGOMA,TONGAREN,MILIMA,28,13319
BUNGOMA,TONGAREN,NAITIRI/KABUYEFWE,36,14663
BUNGOMA,TONGAREN,NDALU/ TABANI,19,9501
BUNGOMA,TONGAREN,SOYSAMBU/ MITUA,25,11586
BUNGOMA,TONGAREN,TONGAREN,28,13326
BUNGOMA,WEBUYE EAST,MARAKA,24,11677
BUNGOMA,WEBUYE EAST,MIHUU,32,14573
BUNGOMA,WEBUYE EAST,NDIVISI,37,16013
BUNGOMA,WEBUYE WEST,BOKOLI,25,12697
BUNGOMA,WEBUYE WEST,MATULO,25,14712
BUNGOMA,WEBUYE WEST,MISIKHU,25,12203
BUNGOMA,WEBUYE WEST,SITIKHO,21,10854
BUSIA,BUDALANGI,BUNYALA CENTRAL,16,6672
BUSIA,BUDALANGI,BUNYALA NORTH,24,11609
BUSIA,BUDALANGI,BUNYALA SOUTH,21,7809
BUSIA,BUDALANGI,BUNYALA WEST,23,12327
BUSIA,BUTULA,ELUGULU,18,8728
BUSIA,BUTULA,KINGANDOLE,17,8232
BUSIA,BUTULA,MARACHI CENTRAL,22,10301
BUSIA,BUTULA,MARACHI EAST,21,9547
BUSIA,BUTULA,MARACHI NORTH,22,10827
BUSIA,BUTULA,MARACHI WEST,20,10050
BUSIA,FUNYULA,AGENG'A NANGUBA,24,12264
BUSIA,FUNYULA,BWIRI,20,8865
BUSIA,FUNYULA,NAMBOBOTO NAMBUKU,33,13565
BUSIA,FUNYULA,NANGINA,22,9977
BUSIA,MATAYOS,BUKHAYO WEST,33,14278
BUSIA,MATAYOS,BURUMBA,33,17188
BUSIA,MATAYOS,BUSIBWABO,11,5301
BUSIA,MATAYOS,MATAYOS SOUTH,28,13577
BUSIA,MATAYOS,MAYENJE,12,6497
BUSIA,NAMBALE,BUKHAYO CENTRAL,19,8622
BUSIA,NAMBALE,BUKHAYO EAST,20,9579
BUSIA,NAMBALE,BUKHAYO NORTH/WALTSI,22,9273
BUSIA,NAMBALE,NAMBALE TOWNSHIP,25,14785
BUSIA,TESO NORTH,ANG'URAI EAST,15,6163
BUSIA,TESO NORTH,ANG'URAI NORTH,19,8709
BUSIA,TESO NORTH,ANG'URAI SOUTH,22,8416
BUSIA,TESO NORTH,MALABA CENTRAL,24,11618
BUSIA,TESO NORTH,MALABA NORTH,16,6749
BUSIA,TESO NORTH,MALABA SOUTH,22,8178
BUSIA,TESO SOUTH,AMUKURA CENTRAL,22,9962
BUSIA,TESO SOUTH,AMUKURA EAST,21,9799
BUSIA,TESO SOUTH,AMUKURA WEST,16,7650
BUSIA,TESO SOUTH,ANG'OROM,26,12711
BUSIA,TESO SOUTH,CHAKOL NORTH,19,7850
BUSIA,TESO SOUTH,CHAKOL SOUTH,32,13370
DIASPORA,DIASPORA,BURUNDI,2,875
DIASPORA,DIASPORA,RWANDA,2,1184
DIASPORA,DIASPORA,SOUTH AFRICA,1,164
DIASPORA,DIASPORA,TANZANIA,103,5528
DIASPORA,DIASPORA,UGANDA,3,1377
ELGEYO/MARAKWET,KEIYO NORTH,EMSOO,19,5334
ELGEYO/MARAKWET,KEIYO NORTH,KAMARINY,31,14746
ELGEYO/MARAKWET,KEIYO NORTH,KAPCHEMUTWA,30,13216
ELGEYO/MARAKWET,KEIYO NORTH,TAMBACH,23,8071
ELGEYO/MARAKWET,KEIYO SOUTH,CHEPKORIO,30,12320
ELGEYO/MARAKWET,KEIYO SOUTH,KABIEMIT,25,8793
ELGEYO/MARAKWET,KEIYO SOUTH,KAPTARAKWA,22,9179
ELGEYO/MARAKWET,KEIYO SOUTH,METKEI,17,6800
ELGEYO/MARAKWET,KEIYO SOUTH,SOY NORTH,23,7893
