county,constituency,ward,no_of_polling_station,no_of_registered_voters
ELGEYO/MARAKWET,KEIYO SOUTH,SOY SOUTH,32,9065
ELGEYO/MARAKWET,MARAKWET EAST,EMBOBUT / EMBULOT,26,6471
ELGEYO/MARAKWET,MARAKWET EAST,ENDO,42,11880
ELGEYO/MARAKWET,MARAKWET EAST,KAPYEGO,26,6678
ELGEYO/MARAKWET,MARAKWET EAST,SAMBIRIR,48,11399
ELGEYO/MARAKWET,MARAKWET WEST,ARROR,11,4209
ELGEYO/MARAKWET,MARAKWET WEST,CHERANG'ANY/CHEBORORWA,24,7883
ELGEYO/MARAKWET,MARAKWET WEST,KAPSOWAR,28,10975
ELGEYO/MARAKWET,MARAKWET WEST,LELAN,29,8366
ELGEYO/MARAKWET,MARAKWET WEST,MOIBEN/KUSERWO,25,9085
ELGEYO/MARAKWET,MARAKWET WEST,SENGWER,18,8301
EMBU,MANYATTA,GATURI SOUTH,24,9368
EMBU,MANYATTA,KIRIMARI,56,27605
EMBU,MANYATTA,KITHIMU,26,10826
EMBU,MANYATTA,MBETI NORTH,34,16617
EMBU,MANYATTA,NGINDA,43,17519
EMBU,MANYATTA,RUGURU/NGANDORI,43,17404
EMBU,MBEERE NORTH,EVURORE,62,24822
EMBU,MBEERE NORTH,MUMINJI,25,9077
EMBU,MBEERE NORTH,NTHAWA,35,17110
EMBU,MBEERE SOUTH,KIAMBERE,24,7894
EMBU,MBEERE SOUTH,MAKIMA,29,10623
EMBU,MBEERE SOUTH,MAVURIA,46,19025
EMBU,MBEERE SOUTH,MBETI SOUTH,40,17775
EMBU,MBEERE SOUTH,MWEA,38,16826
EMBU,RUNYENJES,CENTRAL WARD,28,15193
EMBU,RUNYENJES,GATURI NORTH,34,13944
EMBU,RUNYENJES,KAGAARI NORTH,36,15940
EMBU,RUNYENJES,KAGAARI SOUTH,27,12097
EMBU,RUNYENJES,KYENI NORTH,26,13579
EMBU,RUNYENJES,KYENI SOUTH,34,16224
GARISSA,BALAMBALA,BALAMBALA,11,3743
GARISSA,BALAMBALA,DANYERE,11,3540
GARISSA,BALAMBALA,JARA JARA,4,1830
GARISSA,BALAMBALA,SAKA,11,4087
GARISSA,BALAMBALA,SANKURI,16,6945
GARISSA,DADAAB,ABAKAILE,12,6023
GARISSA,DADAAB,DADAAB,7,3731
GARISSA,DADAAB,DAMAJALE,13,5964
GARISSA,DADAAB,DERTU,10,3910
GARISSA,DADAAB,LABASIGALE,4,1699
GARISSA,DADAAB,LIBOI,10,4435
GARISSA,FAFI,BURA,14,3602
GARISSA,FAFI,DEKAHARIA,15,2851
GARISSA,FAFI,FAFI,14,6162
GARISSA,FAFI,JARAJILA,8,3378
GARISSA,FAFI,NANIGHI,10,3890
GARISSA,GARISSA TOWNSHIP,GALBET,32,17630
GARISSA,GARISSA TOWNSHIP,IFTIN,22,10532
GARISSA,GARISSA TOWNSHIP,TOWNSHIP,21,13862
GARISSA,GARISSA TOWNSHIP,WABERI,22,12267
GARISSA,IJARA,HULUGHO,17,4738
GARISSA,IJARA,IJARA,20,5121
GARISSA,IJARA,MASALANI,22,9292
GARISSA,IJARA,SANGAILU,9,3571
GARISSA,LAGDERA,BARAKI,6,3444
GARISSA,LAGDERA,BENANE,9,3759
GARISSA,LAGDERA,GOREALE,4,1207
GARISSA,LAGDERA,MAALIMIN,11,4498
GARISSA,LAGDERA,MODOGASHE,11,4803
GARISSA,LAGDERA,SABENA,5,2836
HOMA BAY,HOMA BAY TOWN,HOMA BAY ARUJO,21,11219
HOMA BAY,HOMA BAY TOWN,HOMA BAY CENTRAL,37,18299
HOMA BAY,HOMA BAY TOWN,HOMA BAY EAST,31,13779
HOMA BAY,HOMA BAY TOWN,HOMA BAY WEST,16,7273
HOMA BAY,KABONDO KASIPUL,KABONDO EAST,29,14100
HOMA BAY,KABONDO KASIPUL,KABONDO WEST,31,13772
HOMA BAY,KABONDO KASIPUL,KOJWACH,18,8855
HOMA BAY,KABONDO KASIPUL,KOKWANYO/KAKELO,27,12705
HOMA BAY,KARACHUONYO,CENTRAL,24,11092
HOMA BAY,KARACHUONYO,KANYALUO,23,9829
HOMA BAY,KARACHUONYO,KENDU BAY TOWN,26,11972
HOMA BAY,KARACHUONYO,KIBIRI,23,10465
HOMA BAY,KARACHUONYO,NORTH KARACHUONYO,27,12572
HOMA BAY,KARACHUONYO,WANGCHIENG,34,17537
HOMA BAY,KARACHUONYO,WEST KARACHUONYO,27,10537
HOMA BAY,KASIPUL,CENTRAL KASIPUL,26,12985
HOMA BAY,KASIPUL,EAST KAMAGAK,16,7728
HOMA BAY,KASIPUL,SOUTH KASIPUL,23,12297
HOMA BAY,KASIPUL,WEST KAMAGAK,21,12196
HOMA BAY,KASIPUL,WEST KASIPUL,27,12138
HOMA BAY,NDHIWA,KABUOCH NORTH,40,17303
HOMA BAY,NDHIWA,KABUOCH SOUTH/PALA,25,12233
HOMA BAY,NDHIWA,KANYADOTO,19,8009
HOMA BAY,NDHIWA,KANYAMWA KOLOGI,27,11817
HOMA BAY,NDHIWA,KANYAMWA KOSEWE,33,16863
HOMA BAY,NDHIWA,KANYIKELA,9,4624
HOMA BAY,NDHIWA,KWABWAI,32,14207
HOMA BAY,RANGWE,EAST GEM,23,11592
HOMA BAY,RANGWE,KAGAN,35,14273
HOMA BAY,RANGWE,KOCHIA,36,15908
HOMA BAY,RANGWE,WEST GEM,24,10743
HOMA BAY,SUBA NORTH,GEMBE,25,8677
HOMA BAY,SUBA NORTH,KASGUNGA,26,10934
HOMA BAY,SUBA NORTH,LAMBWE,32,10794
HOMA BAY,SUBA NORTH,MFANGANO ISLAND,30,9080
HOMA BAY,SUBA NORTH,RUSINGA ISLAND,26,11969
HOMA BAY,SUBA SOUTH,GWASSI NORTH,30,13003
HOMA BAY,SUBA SOUTH,GWASSI SOUTH,38,15581
HOMA BAY,SUBA SOUTH,KAKSINGRI WEST,29,11826
HOMA BAY,SUBA SOUTH,RUMA-KAKSINGRI,16,6089
ISIOLO,ISIOLO NORTH,BULLA PESA,21,12530
ISIOLO,ISIOLO NORTH,BURAT,24,10995
ISIOLO,ISIOLO NORTH,CHARI,15,4322
ISIOLO,ISIOLO NORTH,CHERAB,30,7285
ISIOLO,ISIOLO NORTH,NGARE MARA,11,4521
ISIOLO,ISIOLO NORTH,OLDO/NYIRO,18,4653
ISIOLO,ISIOLO NORTH,WABERA,21,11947
ISIOLO,ISIOLO SOUTH,GARBATULLA,19,5794
ISIOLO,ISIOLO SOUTH,KINNA,19,7981
ISIOLO,ISIOLO SOUTH,SERICHO,17,5310
KAJIADO,KAJIADO CENTRAL,DALALEKUTUK,31,14309
KAJIADO,KAJIADO CENTRAL,ILDAMAT,17,8016
KAJIADO,KAJIADO CENTRAL,MATAPATO NORTH,34,15003
KAJIADO,KAJIADO CENTRAL,MATAPATO SOUTH,33,15438
KAJIADO,KAJIADO CENTRAL,PURKO,10,3668
KAJIADO,KAJIADO EAST,IMARORO,21,7975
KAJIADO,KAJIADO EAST,KAPUTIEI NORTH,35,19942
KAJIADO,KAJIADO EAST,KENYAWA-POKA,29,9812
KAJIADO,KAJIADO EAST,KITENGELA,54,36831
KAJIADO,KAJIADO EAST,OLOOSIRKON/SHOLINKE,45,28244
KAJIADO,KAJIADO NORTH,NGONG,33,20998
KAJIADO,KAJIADO NORTH,NKAIMURUNYA,50,32274
KAJIADO,KAJIADO NORTH,OLKERI,51,30292
KAJIADO,KAJIADO NORTH,OLOOLUA,28,18005
KAJIADO,KAJIADO NORTH,ONGATA RONGAI,39,26384
KAJIADO,KAJIADO SOUTH,ENTONET/LENKISIM,26,10386
KAJIADO,KAJIADO SOUTH,KIMANA,20,9616
KAJIADO,KAJIADO SOUTH,KUKU,36,15972
KAJIADO,KAJIADO SOUTH,MBIRIKANI/ESELENKEI,22,8504
KAJIADO,KAJIADO SOUTH,ROMBO,35,15498
KAJIADO,KAJIADO WEST,EWUASO OONKIDONG'I,33,14881
KAJIADO,KAJIADO WEST,ILOODOKILANI,23,7885
KAJIADO,KAJIADO WEST,KEEKONYOKIE,56,28019
KAJIADO,KAJIADO WEST,MAGADI,27,9853
KAJIADO,KAJIADO WEST,MOSIRO,9,3388
KAKAMEGA,BUTERE,MARAMA CENTRAL,36,18848
KAKAMEGA,BUTERE,MARAMA NORTH,21,9857
KAKAMEGA,BUTERE,MARAMA SOUTH,20,9739
KAKAMEGA,BUTERE,MARAMA WEST,27,14667
KAKAMEGA,BUTERE,MARENYO - SHIANDA,20,9845
KAKAMEGA,IKOLOMANI,IDAKHO CENTRAL,29,15436
KAKAMEGA,IKOLOMANI,IDAKHO EAST,28,13059
KAKAMEGA,IKOLOMANI,IDAKHO NORTH,25,11824
KAKAMEGA,IKOLOMANI,IDAKHO SOUTH,21,9580
KAKAMEGA,KHWISERO,KISA CENTRAL,42,20930
KAKAMEGA,KHWISERO,KISA EAST,20,9011
KAKAMEGA,KHWISERO,KISA NORTH,23,9364
KAKAMEGA,KHWISERO,KISA WEST,20,9615
KAKAMEGA,LIKUYANI,KONGONI,22,12481
KAKAMEGA,LIKUYANI,LIKUYANI,28,14601
KAKAMEGA,LIKUYANI,NZOIA,28,14934
KAKAMEGA,LIKUYANI,SANGO,21,10795
KAKAMEGA,LIKUYANI,SINOKO,21,10500
KAKAMEGA,LUGARI,CHEKALINI,24,11089
KAKAMEGA,LUGARI,CHEVAYWA,28,13180
KAKAMEGA,LUGARI,LUGARI,26,13737
KAKAMEGA,LUGARI,LUMAKANDA,29,15479
KAKAMEGA,LUGARI,LWANDETI,25,11822
KAKAMEGA,LUGARI,MAUTUMA,27,11694
KAKAMEGA,LURAMBI,BUTSOTSO CENTRAL,30,12640
KAKAMEGA,LURAMBI,BUTSOTSO EAST,24,10070
KAKAMEGA,LURAMBI,BUTSOTSO SOUTH,19,7997
KAKAMEGA,LURAMBI,MAHIAKALO,15,8063
KAKAMEGA,LURAMBI,SHEYWE,51,27515
KAKAMEGA,LURAMBI,SHIRERE,27,13752
KAKAMEGA,MALAVA,BUTALI/CHEGULO,28,13691
KAKAMEGA,MALAVA,CHEMUCHE,23,12543
KAKAMEGA,MALAVA,EAST KABRAS,17,8633
KAKAMEGA,MALAVA,MANDA-SHIVANGA,24,12450
KAKAMEGA,MALAVA,SHIRUGU-MUGAI,19,10183
KAKAMEGA,MALAVA,SOUTH KABRAS,29,14410
KAKAMEGA,MALAVA,WEST KABRAS,20,10226
KAKAMEGA,MATUNGU,KHALABA,15,8028
KAKAMEGA,MATUNGU,KHOLERA,23,11792
KAKAMEGA,MATUNGU,KOYONZO,30,16136
KAKAMEGA,MATUNGU,MAYONI,23,12738
KAKAMEGA,MATUNGU,NAMAMALI,24,13034
KAKAMEGA,MUMIAS EAST,EAST WANGA,29,15705
KAKAMEGA,MUMIAS EAST,LUSHEYA/LUBINU,30,15543
KAKAMEGA,MUMIAS EAST,MALAHA/ISONGO/MAKUNGA,32,14132
KAKAMEGA,MUMIAS WEST,ETENJE,24,11896
KAKAMEGA,MUMIAS WEST,MUMIAS CENTRAL,32,15292
KAKAMEGA,MUMIAS WEST,MUMIAS NORTH,11,6982
KAKAMEGA,MUMIAS WEST,MUSANDA,25,13322
KAKAMEGA,NAVAKHOLO,BUNYALA CENTRAL,27,12014
KAKAMEGA,NAVAKHOLO,BUNYALA EAST,20,9106
KAKAMEGA,NAVAKHOLO,BUNYALA WEST,31,14027
KAKAMEGA,NAVAKHOLO,INGOSTSE-MATHIA,18,8485
KAKAMEGA,NAVAKHOLO,SHINOYI-SHIKOMARI-ESUMEYIA,22,9988
KAKAMEGA,SHINYALU,ISUKHA CENTRAL,29,14871
KAKAMEGA,SHINYALU,ISUKHA EAST,19,8783
KAKAMEGA,SHINYALU,ISUKHA NORTH,22,11208
KAKAMEGA,SHINYALU,ISUKHA SOUTH,31,15221
KAKAMEGA,SHINYALU,ISUKHA WEST,19,9147
KAKAMEGA,SHINYALU,MURHANDA,24,12026
KERICHO,AINAMOI,AINAMOI,20,8777
KERICHO,AINAMOI,KAPKUGERWET,31,16336
KERICHO,AINAMOI,KAPSAOS,28,14085
KERICHO,AINAMOI,KAPSOIT,28,14190
KERICHO,AINAMOI,KIPCHEBOR,30,15519
KERICHO,AINAMOI,KIPCHIMCHIM,12,6614
KERICHO,BELGUT,CHAIK,22,10897
KERICHO,BELGUT,CHEPTORORIET/SERETUT,20,10770
KERICHO,BELGUT,KABIANGA,36,18591
KERICHO,BELGUT,KAPSUSER,19,9949
KERICHO,BELGUT,WALDAI,30,17392
KERICHO,BURETI,CHEBOIN,25,11391
KERICHO,BURETI,CHEMOSOT,29,13995
KERICHO,BURETI,CHEPLANGET,24,11509
KERICHO,BURETI,KAPKATET,23,10563
KERICHO,BURETI,KISIARA,22,11006
KERICHO,BURETI,LITEIN,30,14124
KERICHO,BURETI,TEBESONIK,24,9829
KERICHO,KIPKELION EAST,CHEPSEON,36,16462
KERICHO,KIPKELION EAST,KEDOWA/KIMUGUL,41,19483
KERICHO,KIPKELION EAST,LONDIANI,26,12453
KERICHO,KIPKELION EAST,TENDENO/SORGET,16,8088
KERICHO,KIPKELION WEST,CHILCHILA,35,15258
KERICHO,KIPKELION WEST,KAMASIAN,24,10172
KERICHO,KIPKELION WEST,KIPKELION,29,13362
KERICHO,KIPKELION WEST,KUNYAK,18,7720
KERICHO,SIGOWET/SOIN,KAPLELARTET,27,13518
KERICHO,SIGOWET/SOIN,SIGOWET,34,16345
KERICHO,SIGOWET/SOIN,SOIN,23,9080
KERICHO,SIGOWET/SOIN,SOLIAT,18,8190
KIAMBU,GATUNDU NORTH,CHANIA,31,17196
KIAMBU,GATUNDU NORTH,GITHOBOKONI,29,13846
KIAMBU,GATUNDU NORTH,GITUAMBA,34,18518
KIAMBU,GATUNDU NORTH,MANG'U,32,18038
KIAMBU,GATUNDU SOUTH,KIAMWANGI,24,13053
KIAMBU,GATUNDU SOUTH,KIGANJO,35,18067
KIAMBU,GATUNDU SOUTH,NDARUGU,26,13671
KIAMBU,GATUNDU SOUTH,NGENDA,55,31067
KIAMBU,GITHUNGURI,GITHIGA,35,19704
KIAMBU,GITHUNGURI,GITHUNGURI,42,25756
KIAMBU,GITHUNGURI,IKINU,28,16576
KIAMBU,GITHUNGURI,KOMOTHAI,37,19507
KIAMBU,GITHUNGURI,NGEWA,32,17841
KIAMBU,JUJA,JUJA,52,32063
KIAMBU,JUJA,KALIMONI,30,18794
KIAMBU,JUJA,MURERA,27,15146
KIAMBU,JUJA,THETA,40,26648
KIAMBU,JUJA,WITEITHIE,35,22110
KIAMBU,KABETE,GITARU,28,17346
KIAMBU,KABETE,KABETE,31,18938
KIAMBU,KABETE,MUGUGA,29,18367
KIAMBU,KABETE,NYADHUNA,35,20183
KIAMBU,KABETE,UTHIRU,16,10612
KIAMBU,KIAMBAA,CIANDA,20,11002
KIAMBU,KIAMBAA,KARURI,35,21634
KIAMBU,KIAMBAA,KIHARA,28,18331
KIAMBU,KIAMBAA,MUCHATHA,29,17472
KIAMBU,KIAMBAA,NDENDERU,42,26974
KIAMBU,KIAMBU,NDUMBERI,33,20691
KIAMBU,KIAMBU,RIABAI,24,14418
KIAMBU,KIAMBU,TING'ANG'A,25,13404
KIAMBU,KIAMBU,TOWNSHIP,50,32217
KIAMBU,KIKUYU,KARAI,25,14530
KIAMBU,KIKUYU,KIKUYU,45,28120
KIAMBU,KIKUYU,KINOO,27,17633
KIAMBU,KIKUYU,NACHU,23,12671
KIAMBU,KIKUYU,SIGONA,29,18203
KIAMBU,LARI,KAMBURU,22,11641
KIAMBU,LARI,KIJABE,32,17780
KIAMBU,LARI,KINALE,28,15532
KIAMBU,LARI,LARI/KIRENGA,33,17849
KIAMBU,LARI,NYANDUMA,27,13853
KIAMBU,LIMURU,BIBIRIONI,23,13020
KIAMBU,LIMURU,LIMURU CENTRAL,43,25116
KIAMBU,LIMURU,LIMURU EAST,29,16012
KIAMBU,LIMURU,NDEIYA,29,15962
KIAMBU,LIMURU,NGECHA TIGONI,29,17148
KIAMBU,RUIRU,BIASHARA,56,37686
KIAMBU,RUIRU,GATONGORA,21,13278
KIAMBU,RUIRU,GITOTHUA,23,13960
KIAMBU,RUIRU,KAHAWA SUKARI,16,10458
KIAMBU,RUIRU,KAHAWA WENDANI,24,15928
KIAMBU,RUIRU,KIUU,35,23758
KIAMBU,RUIRU,MWIHOKO,18,12402
KIAMBU,RUIRU,MWIKI,47,31867
KIAMBU,THIKA TOWN,GATUANYAGA,20,11462
KIAMBU,THIKA TOWN,HOSPITAL,51,32284
KIAMBU,THIKA TOWN,KAMENU,77,51497
KIAMBU,THIKA TOWN,NGOLIBA,15,9273
KIAMBU,THIKA TOWN,TOWNSHIP,67,42807
KILIFI,GANZE,BAMBA,33,14717
KILIFI,GANZE,GANZE,32,13328
KILIFI,GANZE,JARIBUNI,25,10286
KILIFI,GANZE,SOKOKE,42,16429
KILIFI,KALOLENI,KALOLENI,45,20971
KILIFI,KALOLENI,KAYAFUNGO,27,12574
KILIFI,KALOLENI,MARIAKANI,33,18089
KILIFI,KALOLENI,MWANAMWINGA,18,8836
KILIFI,KILIFI NORTH,DABASO,22,12620
KILIFI,KILIFI NORTH,KIBARANI,25,12376
KILIFI,KILIFI NORTH,MATSANGONI,27,13509
KILIFI,KILIFI NORTH,MNARANI,29,15943
KILIFI,KILIFI NORTH,SOKONI,32,20552
KILIFI,KILIFI NORTH,TEZO,22,12640
KILIFI,KILIFI NORTH,WATAMU,25,14338
KILIFI,KILIFI SOUTH,CHASIMBA,27,12333
KILIFI,KILIFI SOUTH,JUNJU,25,13670
KILIFI,KILIFI SOUTH,MTEPENI,32,19093
KILIFI,KILIFI SOUTH,MWARAKAYA,21,11167
KILIFI,KILIFI SOUTH,SHIMO LA TEWA,42,28602
KILIFI,MAGARINI,ADU,37,13985
KILIFI,MAGARINI,GARASHI,24,8918
KILIFI,MAGARINI,GONGONI,32,14827
KILIFI,MAGARINI,MAGARINI,31,15200
KILIFI,MAGARINI,MARAFA,20,7889
KILIFI,MAGARINI,SABAKI,13,7634
KILIFI,MALINDI,GANDA,30,16623
KILIFI,MALINDI,JILORE,20,9107
KILIFI,MALINDI,KAKUYUNI,16,7830
KILIFI,MALINDI,MALINDI TOWN,46,28264
KILIFI,MALINDI,SHELLA,42,25386
KILIFI,RABAI,KAMBE/RIBE,18,9362
KILIFI,RABAI,MWAWESA,12,7034
KILIFI,RABAI,RABAI/KISURUTINI,45,23749
KILIFI,RABAI,RURUMA,18,10187
KIRINYAGA,GICHUGU,BARAGWI,26,14734
KIRINYAGA,GICHUGU,KABARE,50,25588
KIRINYAGA,GICHUGU,KARUMANDI,35,16911
KIRINYAGA,GICHUGU,NGARIAMA,27,13046
KIRINYAGA,GICHUGU,NJUKIINI,30,15073
KIRINYAGA,KIRINYAGA CENTRAL,INOI,31,15998
KIRINYAGA,KIRINYAGA CENTRAL,KANYEKINI,36,19643
KIRINYAGA,KIRINYAGA CENTRAL,KERUGOYA,42,23363
